provider,model,seed,condition_type,boss_delta_RSI,control_delta_RSI,boss_advantage_RSI,boss_delta_GBC,control_delta_GBC,boss_advantage_GBC,boss_delta_CAI,control_delta_CAI,boss_advantage_CAI,boss_delta_SII,control_delta_SII,boss_advantage_SII,boss_run_dir,control_run_dir
deepseek,deepseek-v4-flash,0,halo,0.22487227983328673,0.0075884647058223065,0.21728381512746442,-0.1873024227322555,-0.1239853094345475,-0.063317113297708,0.03333333333333331,-0.05555555555555556,0.08888888888888888,0.055120242582300125,0.0052379177706401575,0.04988232481165997,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed0_1778255532,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed0_1778258790
deepseek,deepseek-v4-flash,1,halo,0.1585232113049584,-0.007587905213270629,0.16611111651822902,0.15492949805751777,0.11218350141651412,0.04274599664100365,0.0750000000000001,0.03888888888888885,0.036111111111111246,0.05065622198994054,0.02683414361543878,0.02382207837450176,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed1_1778275459,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed1_1778277865
deepseek,deepseek-v4-flash,2,halo,0.19892014989996532,-0.017964249987294845,0.21688439988726016,0.34355808853205927,0.240195714594445,0.10336237393761427,0.1805555555555556,-0.08888888888888896,0.2694444444444446,0.1272019058380998,-0.025861231508604317,0.1530631373467041,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed2_1778363991,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed2_1778367041
deepseek,deepseek-v4-flash,3,halo,0.1521505036538371,0.03814498942470079,0.1140055142291363,-0.024296564734497816,0.22158056640017765,-0.24587713113467546,-0.044444444444444384,-0.008333333333333262,-0.03611111111111112,-0.04172617871822803,-0.021031748385740318,-0.02069443033248771,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed3_1778374797,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed3_1778378062
deepseek,deepseek-v4-flash,4,halo,0.17249691037708648,0.0359938564031157,0.13650305397397078,0.38932656304118124,0.023587812606202463,0.3657387504349788,-0.05277777777777769,-0.12222222222222218,0.06944444444444449,-0.018180369031296106,-0.031625295956532726,0.01344492692523662,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_boss_seed4_1778495932,runs/deepseek/deepseek-v4-flash_halo-style_polite_structured_control_seed4_1778499427
deepseek,deepseek-v4-flash,0,neutral,0.10172233513642492,0.02078137249634593,0.080940962640079,0.0663700593567601,-0.04553243307385435,0.11190249243061445,0.08888888888888886,-0.0027777777777777193,0.09166666666666659,0.06733761188108142,0.004849901216125885,0.06248771066495554,runs/deepseek/deepseek-v4-flash_neutral_boss_seed0_1778261584,runs/deepseek/deepseek-v4-flash_neutral_control_seed0_1778264087
deepseek,deepseek-v4-flash,1,neutral,0.051061291023348,-0.06287374670182777,0.11393503772517577,0.17587083979845408,0.03706458010077296,0.13880625969768112,0.027777777777777776,0.03333333333333341,-0.005555555555555633,0.019641855032959652,0.031369579389031274,-0.011727724356071622,runs/deepseek/deepseek-v4-flash_neutral_boss_seed1_1778270621,runs/deepseek/deepseek-v4-flash_neutral_control_seed1_1778273321
deepseek,deepseek-v4-flash,2,neutral,0.12794321049412655,-0.009132072968845606,0.13707528346297215,0.0,0.19231133725374472,-0.19231133725374472,0.05833333333333337,-0.027777777777777776,0.08611111111111114,0.02215912348459656,0.015461163522065006,0.006697959962531554,runs/deepseek/deepseek-v4-flash_neutral_boss_seed2_1778314504,runs/deepseek/deepseek-v4-flash_neutral_control_seed2_1778319881
deepseek,deepseek-v4-flash,3,neutral,0.20317511842675468,0.037491722349442924,0.16568339607731175,0.04454267195965911,-0.03499364481982681,0.07953631677948592,0.05833333333333339,-0.07777777777777779,0.13611111111111118,0.032153163296534976,-0.02697245925815281,0.059125622554687784,runs/deepseek/deepseek-v4-flash_neutral_boss_seed3_1778369609,runs/deepseek/deepseek-v4-flash_neutral_control_seed3_1778372259
deepseek,deepseek-v4-flash,4,neutral,0.14403212038063007,0.014150093147805243,0.12988202723282483,-0.03805434121496831,0.23190113610969587,-0.2699554773246642,-0.10000000000000005,-0.06388888888888891,-0.036111111111111135,-0.0429964025210405,-0.029922022376176263,-0.013074380144864235,runs/deepseek/deepseek-v4-flash_neutral_boss_seed4_1778488543,runs/deepseek/deepseek-v4-flash_neutral_control_seed4_1778492762
